-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 03/31/2021 
Location: Latitude  21.4484   Longitude -157.7559 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,PRECTOTCORR,WS10M
1981,1,1,24.73,1.62,1.46
1981,1,2,24.55,0.47,5.41
1981,1,3,24.4,2.17,6.73
1981,1,4,22.91,2.07,6.07
1981,1,5,23.81,0.54,4.18
1981,1,6,24.51,0.31,1.8
1981,1,7,24.06,2.02,2.8
1981,1,8,23.55,2.69,4.2
1981,1,9,23.76,1.45,2.95
1981,1,10,23.81,0.08,1.46
1981,1,11,23.58,1.49,1.88
1981,1,12,24.01,4.6,1.14
1981,1,13,24.19,0.93,2.09
1981,1,14,23.94,0.47,1.63
1981,1,15,24.16,0.0,2.03
1981,1,16,23.97,0.33,6.34
1981,1,17,23.62,0.05,7.45
1981,1,18,22.87,0.01,5.88
1981,1,19,23.57,0.05,8.83
1981,1,20,21.47,0.59,8.38
1981,1,21,21.55,0.19,7.48
1981,1,22,23.98,0.97,2.58
1981,1,23,24.31,0.01,2.48
1981,1,24,24.01,0.05,4.59
1981,1,25,23.8,0.14,5.14
1981,1,26,22.75,1.28,8.23
1981,1,27,23.35,1.97,9.38
1981,1,28,24.05,3.93,5.56
1981,1,29,23.69,3.38,1.49
1981,1,30,23.79,0.23,3.32
1981,1,31,24.01,1.62,1.74
1981,2,1,23.59,0.88,3.7
1981,2,2,23.59,1.37,2.56
1981,2,3,23.9,1.17,4.61
1981,2,4,23.86,0.04,3.82
1981,2,5,22.73,1.73,7.71
1981,2,6,20.77,0.0,5.02
1981,2,7,21.49,0.2,4.31
1981,2,8,21.11,4.86,8.58
1981,2,9,20.12,0.1,5.54
1981,2,10,22.73,0.89,6.04
1981,2,11,24.49,20.45,10.9
1981,2,12,23.81,5.86,3.56
1981,2,13,24.46,0.36,4.95
1981,2,14,24.83,1.73,4.12
1981,2,15,24.33,0.16,4.45
1981,2,16,24.4,2.66,3.62
1981,2,17,23.98,0.11,2.46
1981,2,18,23.46,0.3,6.96
1981,2,19,23.37,0.28,7.43
1981,2,20,22.87,1.98,6.19
1981,2,21,22.87,1.31,9.7
1981,2,22,23.6,0.84,11.5
1981,2,23,23.3,0.52,11.04
1981,2,24,22.9,0.41,11.09
1981,2,25,23.11,2.34,12.12
1981,2,26,23.09,1.5,11.85
1981,2,27,22.53,0.63,11.3
1981,2,28,22.55,0.12,11.03
1981,3,1,23.0,0.35,9.47
1981,3,2,23.4,0.2,9.08
1981,3,3,23.41,1.54,9.3
1981,3,4,23.56,0.35,8.05
1981,3,5,23.87,0.47,4.91
1981,3,6,23.51,1.39,5.13
1981,3,7,23.33,1.51,2.38
1981,3,8,22.55,0.54,6.14
1981,3,9,22.99,0.1,4.84
1981,3,10,23.46,0.04,4.59
1981,3,11,23.1,0.54,5.31
1981,3,12,23.18,0.06,4.36
1981,3,13,22.81,0.15,4.23
1981,3,14,22.56,0.65,4.51
1981,3,15,22.94,1.26,2.82
1981,3,16,22.22,6.59,7.05
1981,3,17,20.82,4.26,7.23
1981,3,18,21.37,1.63,6.41
1981,3,19,22.16,0.26,4.71
1981,3,20,22.1,0.18,2.66
1981,3,21,22.8,0.11,2.67
1981,3,22,23.57,0.04,2.41
1981,3,23,23.12,0.02,3.09
1981,3,24,22.86,0.43,6.75
